Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,135,,2.97,136,21.83823529,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,256,,3.7,258,14.34108527,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,252,,3.65,252,14.48412698,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,146,,2.97,149,19.93288591,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,599,,15.94,849,18.77502945,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,1136,,16.99,1220,13.92622951,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,1241,,18.16,1389,13.07415407,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,1514,,17.11,1597,10.71383845,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,2044,,19.4,2085,9.304556355,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,1335,,18.25,1550,11.77419355,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,,,2993,,20.94,3077,6.805329867,,
5/28/2016,4/27/2017,1. Medal - Santorini,active,1,actions:offsite_conversion.fb_pixel_purchase,2030,24.38,24.38,2281,10.68829461,1,24.38
5/28/2016,4/27/2017,1. Medal - Santorini,active,2,actions:offsite_conversion.fb_pixel_purchase,3771,12.43,24.86,3967,6.266700277,2,12.43
5/28/2016,4/27/2017,1. Medal - Santorini,active,9,actions:offsite_conversion.fb_pixel_purchase,2423,4.183333333,37.65,3020,12.46688742,9,4.183333333
5/28/2016,4/27/2017,1. Stroller Dad - Dedicated,active,5,actions:offsite_conversion.fb_pixel_purchase,4459,12.854,64.27,7502,8.567048787,5,12.854
5/28/2016,4/27/2017,1. Stroller Dad - Dedicated,active,2,actions:offsite_conversion.fb_pixel_purchase,2098,32.09,64.18,4609,13.92492949,2,32.09
5/28/2016,4/27/2017,1. Stroller Dad - Dedicated,active,5,actions:offsite_conversion.fb_pixel_purchase,2311,12.75,63.75,4096,15.56396484,5,12.75
5/28/2016,4/27/2017,1. Stroller Dad - Dedicated,active,8,actions:offsite_conversion.fb_pixel_purchase,2250,8.01125,64.09,3854,16.62947587,8,8.01125
5/28/2016,4/27/2017,2. Full Swag - For Her,active,2,actions:offsite_conversion.fb_pixel_purchase,6338,32.29,64.58,10069,6.413745158,2,32.29
5/28/2016,4/27/2017,2. Full Swag - Remember,active,10,actions:offsite_conversion.fb_pixel_purchase,2552,6.471,64.71,4533,14.27531436,10,6.471
5/28/2016,4/27/2017,1. Logo - Flowers,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1821,22.68,22.68,1907,11.89302569,1,22.68
5/28/2016,4/27/2017,1. Logo - Flowers,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1593,22.74,22.74,1807,12.58439402,1,22.74
5/28/2016,4/27/2017,1. Logo - Flowers,not_delivering,,,2962,,22.67,3215,7.051321928,,
