Reporting Starts,Reporting Ends,Campaign Name,Age,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
9/20/2011,4/27/2017,Dash for Dads 2017 - Conversions,35-44,active,8,actions:offsite_conversion.fb_pixel_purchase,3893,12.95625,103.65,8726,11.87829475,8,12.95625
9/20/2011,4/27/2017,Dash for Dads 2017 - Conversions,25-34,active,7,actions:offsite_conversion.fb_pixel_purchase,1973,7.028571429,49.2,4547,10.82032109,7,7.028571429
9/20/2011,4/27/2017,Dash for Dads 2017 - Conversions,45-54,active,5,actions:offsite_conversion.fb_pixel_purchase,2995,18.97,94.85,6288,15.08428753,5,18.97
9/20/2011,4/27/2017,Bacon Blitz 2017 - Conversions,45-54,active,4,actions:offsite_conversion.fb_pixel_purchase,4476,17.68,70.72,5732,12.33775297,4,17.68
9/20/2011,4/27/2017,Bacon Blitz 2017 - Conversions,35-44,active,4,actions:offsite_conversion.fb_pixel_purchase,6642,22.1075,88.43,9008,9.816829485,4,22.1075
9/20/2011,4/27/2017,Bacon Blitz 2017 - Conversions,25-34,active,3,actions:offsite_conversion.fb_pixel_purchase,4503,17.4,52.2,5765,9.054640069,3,17.4
9/20/2011,4/27/2017,Bacon Blitz 2017 - Conversions,55-64,active,,,225,,4.77,338,14.11242604,,
9/20/2011,4/27/2017,Dash for Dads 2017 - Conversions,55-64,active,,,172,,6.92,400,17.3,,
9/20/2011,4/27/2017,Miles for Moms 2017 - Website Conversions,45-54,active,34,actions:offsite_conversion.fb_pixel_purchase,6619,6.576176471,223.59,17102,13.07390948,34,6.576176471
9/20/2011,4/27/2017,Miles for Moms 2017 - Website Conversions,35-44,active,28,actions:offsite_conversion.fb_pixel_purchase,9849,9.770714286,273.58,27314,10.01610896,28,9.770714286
9/20/2011,4/27/2017,Miles for Moms 2017 - Website Conversions,25-34,active,14,actions:offsite_conversion.fb_pixel_purchase,8725,12.11857143,169.66,22666,7.485220154,14,12.11857143
9/20/2011,4/27/2017,Miles for Moms 2017 - Website Conversions,18-24,active,,,550,,6.66,902,7.383592018,,
9/20/2011,4/27/2017,Miles for Moms 2017 - Website Conversions,55-64,active,,,399,,15,964,15.56016598,,
9/20/2011,4/27/2017,Pi Day 5K 2017 - Website Conversions,35-44,inactive,405,actions:offsite_conversion.fb_pixel_purchase,137820,9.581012346,3880.31,353911,10.96408419,405,9.581012346
9/20/2011,4/27/2017,Pi Day 5K 2017 - Website Conversions,45-54,inactive,332,actions:offsite_conversion.fb_pixel_purchase,97439,10.54385542,3500.56,249289,14.04217595,332,10.54385542
9/20/2011,4/27/2017,Pi Day 5K 2017 - Website Conversions,25-34,inactive,284,actions:offsite_conversion.fb_pixel_purchase,111943,9.300809859,2641.43,254353,10.38489815,284,9.300809859
9/20/2011,4/27/2017,Love Earth Run 2017 - Website Conversions,45-54,inactive,140,actions:offsite_conversion.fb_pixel_purchase,26515,11.64385714,1630.14,105100,15.51037108,140,11.64385714
9/20/2011,4/27/2017,Love Earth Run 2017 - Website Conversions,35-44,inactive,111,actions:offsite_conversion.fb_pixel_purchase,38063,15.0181982,1667.02,144272,11.55470223,111,15.0181982
9/20/2011,4/27/2017,Pi Day 5K 2017 - Website Conversions,55-64,inactive,78,actions:offsite_conversion.fb_pixel_purchase,30989,14.12730769,1101.93,67277,16.37900025,78,14.12730769
9/20/2011,4/27/2017,Love Earth Run 2017 - Website Conversions,25-34,inactive,69,actions:offsite_conversion.fb_pixel_purchase,25205,13.52637681,933.32,92943,10.04185361,69,13.52637681
9/20/2011,4/27/2017,Pi Day 5K 2017 - Website Conversions,18-24,inactive,30,actions:offsite_conversion.fb_pixel_purchase,13993,7.976333333,239.29,25378,9.429033021,30,7.976333333
9/20/2011,4/27/2017,Love Earth Run 2017 - Website Conversions,55-64,inactive,5,actions:offsite_conversion.fb_pixel_purchase,1821,24.138,120.69,6639,18.17894261,5,24.138
9/20/2011,4/27/2017,Pi Day 5K 2017 - Website Conversions,65+,inactive,,,0,,0.01,2,5,,
9/20/2011,4/27/2017,Love Earth Run 2017 - Website Conversions,18-24,inactive,,,96,,3.75,206,18.2038835,,
9/20/2011,4/27/2017,"Post: ""Can you smell what FitFam is cookin'? The Pi Day...""",35-44,completed,11,actions:post_engagement,243,0.81,8.91,448,19.88839286,6,1.485
9/20/2011,4/27/2017,"Post: ""Can you smell what FitFam is cookin'? The Pi Day...""",45-54,completed,22,actions:post_engagement,156,0.322727273,7.1,285,24.9122807,3,2.366666667
9/20/2011,4/27/2017,"Post: ""Can you smell what FitFam is cookin'? The Pi Day...""",25-34,completed,21,actions:post_engagement,201,0.25,5.25,372,14.11290323,2,2.625
