Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Website Conversions,Cost per Website Conversion (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)"
9/20/2011,4/25/2017,1. Stroller Dad - Dedicated,active,1,actions:offsite_conversion.fb_pixel_purchase,1580,47.66,47.66,11,4.332727273,3363,14.17187035
9/20/2011,4/25/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,25,actions:offsite_conversion.fb_pixel_purchase,8669,8.6236,215.59,188,1.146755319,22363,9.640477575
9/20/2011,4/25/2017,2. Full Swag - Earth Day Pride,inactive,5,actions:offsite_conversion.fb_pixel_purchase,4407,14.66,73.3,61,1.201639344,6108,12.00065488
9/20/2011,4/25/2017,1. Medal - Mountains,inactive,8,actions:offsite_conversion.fb_pixel_purchase,4330,8.08875,64.71,59,1.096779661,5747,11.25978772
9/20/2011,4/25/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,31,actions:offsite_conversion.fb_pixel_purchase,4097,6.980322581,216.39,236,0.91690678,17975,12.03838665
9/20/2011,4/25/2017,2. Full Swag - Earth Day Pride,inactive,21,actions:offsite_conversion.fb_pixel_purchase,2816,3.425714286,71.94,150,0.4796,4905,14.66666667
9/20/2011,4/25/2017,1. Medal - Mountains,inactive,21,actions:offsite_conversion.fb_pixel_purchase,2539,3.109047619,65.29,141,0.463049645,4014,16.2655705
9/20/2011,4/25/2017,3. Medal Photo - Celebrate Earth Day,not_delivering,14,actions:offsite_conversion.fb_pixel_purchase,8058,15.41428571,215.8,170,1.269411765,16644,12.96563326
9/20/2011,4/25/2017,2. Full Swag - Earth Day Pride,inactive,12,actions:offsite_conversion.fb_pixel_purchase,3783,6.026666667,72.32,69,1.048115942,4877,14.82878819
9/20/2011,4/25/2017,1. Medal - Mountains,inactive,5,actions:offsite_conversion.fb_pixel_purchase,2993,13.016,65.08,36,1.807777778,3601,18.07275757
9/20/2011,4/25/2017,1. Stroller Dad - Dedicated,active,2,actions:offsite_conversion.fb_pixel_purchase,3646,23.69,47.38,11,4.307272727,5999,7.897982997
9/20/2011,4/25/2017,1. Stroller Dad - Dedicated,active,2,actions:offsite_conversion.fb_pixel_purchase,1921,23.685,47.37,29,1.633448276,3049,15.53624139
9/20/2011,4/25/2017,1. Stroller Dad - Dedicated,active,4,actions:offsite_conversion.fb_pixel_purchase,1876,11.9675,47.87,33,1.450606061,2944,16.26019022
9/20/2011,4/25/2017,2. Full Swag - For Her,active,2,actions:offsite_conversion.fb_pixel_purchase,4809,24.235,48.47,32,1.5146875,7833,6.18792289
9/20/2011,4/25/2017,2. Full Swag - Remember,active,3,actions:offsite_conversion.fb_pixel_purchase,2027,16.08333333,48.25,33,1.462121212,3308,14.58585248
9/20/2011,4/25/2017,1. Logo - Flowers,active,55,actions:offsite_conversion.fb_pixel_purchase,5222,6.374,350.57,396,0.885277778,31097,11.27343474
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,3110,36.15,36.15,7,5.164285714,3465,10.43290043
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,9,actions:offsite_conversion.fb_pixel_purchase,3036,10.17777778,91.6,63,1.453968254,6485,14.12490362
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,901,36.57,36.57,15,2.438,1746,20.94501718
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,10,actions:offsite_conversion.fb_pixel_purchase,2587,9.176,91.76,75,1.223466667,6355,14.43902439
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,,,900,,37.45,6,6.241666667,2225,16.83146067
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,1902,6.425,38.55,37,1.041891892,2825,13.6460177
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,2001,21.9,43.8,10,4.38,2698,16.23424759
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,,,1926,,37.11,1,37.11,2823,13.1455898
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,,,3620,,43,14,3.071428571,4466,9.628302732
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,5118,43.64,43.64,9,4.848888889,6730,6.484398217
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,7646,49.045,98.09,32,3.0653125,10452,9.384806736
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,933,14.42333333,43.27,32,1.3521875,2322,18.63479759
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,,,1308,,36.48,3,12.16,2050,17.79512195
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,,,3525,,42.96,7,6.137142857,4784,8.97993311
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,2383,14.60666667,43.82,20,2.191,3340,13.11976048
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,3860,14.01857143,98.13,83,1.182289157,7906,12.41209208
9/20/2011,4/25/2017,6. Full Swag + Planeteers,not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,961,8.598,42.99,21,2.047142857,2599,16.5409773
9/20/2011,4/25/2017,1. Logo - Flowers,not_delivering,,,2061,,38.83,7,5.547142857,3540,10.96892655
9/20/2011,4/25/2017,1. Logo - Flowers,inactive,,,577,,9.34,,,677,13.79615953
9/20/2011,4/25/2017,1. Logo - Flowers,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1821,22.68,22.68,4,5.67,1907,11.89302569
9/20/2011,4/25/2017,1. Logo - Flowers,not_delivering,,,1593,,22.74,2,11.37,1807,12.58439402
9/20/2011,4/25/2017,1. Logo - Flowers,not_delivering,,,2962,,22.67,6,3.778333333,3215,7.051321928
9/20/2011,4/25/2017,1. Logo - Flowers,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,3590,19.495,38.99,15,2.599333333,4627,8.426626324
9/20/2011,4/25/2017,1. Logo - Flowers,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,5606,38.9,38.9,22,1.768181818,6575,5.91634981
9/20/2011,4/25/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1067,15.33,15.33,6,2.555,1204,12.73255814
9/20/2011,4/25/2017,7. Alex & Kim 1 + Peace on Earth Day,not_delivering,,,1327,,22.27,4,5.5675,1355,16.43542435
9/20/2011,4/25/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1177,15.42,15.42,11,1.401818182,1333,11.56789197
9/20/2011,4/25/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1439,7.675,15.35,18,0.852777778,1617,9.492888064
9/20/2011,4/25/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,809,4.585,9.17,11,0.833636364,875,10.48
9/20/2011,4/25/2017,4. Full Swag 2 - Celebrate Earth Day,not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,736,3.07,9.21,18,0.511666667,810,11.37037037
9/20/2011,4/25/2017,5. Medal 2 - Sky,not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,2712,13.18833333,79.13,77,1.027662338,7199,10.99180442
