Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Website Purchases,Cost per Website Purchase (USD)
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,28,actions:offsite_conversion.fb_pixel_purchase,11202,10.58642857,296.42,17955,16.5090504,28,10.58642857
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,44,actions:offsite_conversion.fb_pixel_purchase,10362,6.773863636,298.05,21131,14.10486962,44,6.773863636
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,8,actions:offsite_conversion.fb_pixel_purchase,6485,11.225,89.8,6875,13.06181818,8,11.225
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,7,actions:offsite_conversion.fb_pixel_purchase,1409,12.67285714,88.71,4882,18.17083163,7,12.67285714
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,7,actions:offsite_conversion.fb_pixel_purchase,7920,12.80571429,89.64,8747,10.24808506,7,12.80571429
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,13,actions:offsite_conversion.fb_pixel_purchase,1756,7.845384615,101.99,5341,19.09567497,13,7.845384615
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,40,actions:offsite_conversion.fb_pixel_purchase,40400,14.994,599.76,42494,14.11399256,40,14.994
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,25,actions:offsite_conversion.fb_pixel_purchase,893,3.3856,84.64,4196,20.17159199,25,3.3856
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,14,actions:offsite_conversion.fb_pixel_purchase,17708,15.975,223.65,18360,12.18137255,14,15.975
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,44,actions:offsite_conversion.fb_pixel_purchase,42069,13.69909091,602.76,46362,13.00116475,44,13.69909091
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,16,actions:offsite_conversion.fb_pixel_purchase,18681,18.994375,303.91,20015,15.18411192,16,18.994375
