Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Website Conversions,Cost per Website Conversion (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)"
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,14,actions:offsite_conversion.fb_pixel_purchase,17708,15.975,223.65,114,1.961842105,18360,12.18137255
1/31/2017,3/14/2017,3. Medal - Slideshow Video,inactive,33,actions:offsite_conversion.fb_pixel_purchase,33822,11.66242424,384.86,320,1.2026875,37185,10.34987226
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,44,actions:offsite_conversion.fb_pixel_purchase,10362,6.773863636,298.05,273,1.091758242,21131,14.10486962
1/31/2017,3/14/2017,3. Medal - Slideshow Video,inactive,56,actions:offsite_conversion.fb_pixel_purchase,10493,6.243035714,349.61,440,0.794568182,26002,13.44550419
1/31/2017,3/14/2017,2. Medal - Baker's Video,inactive,6,actions:offsite_conversion.fb_pixel_purchase,1131,1.951666667,11.71,38,0.308157895,1157,10.12100259
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,16,actions:offsite_conversion.fb_pixel_purchase,18681,18.994375,303.91,120,2.532583333,20015,15.18411192
1/31/2017,3/14/2017,3. Medal - Slideshow Video,inactive,29,actions:offsite_conversion.fb_pixel_purchase,42899,12.06896552,350,301,1.162790698,45528,7.687576876
1/31/2017,3/14/2017,2. Medal - Baker's Video,inactive,,,1548,,13.66,2,6.83,1562,8.745198464
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,7,actions:offsite_conversion.fb_pixel_purchase,7920,12.80571429,89.64,32,2.80125,8747,10.24808506
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,28,actions:offsite_conversion.fb_pixel_purchase,11202,10.58642857,296.42,187,1.58513369,17955,16.5090504
1/31/2017,3/14/2017,3. Medal - Slideshow Video,inactive,29,actions:offsite_conversion.fb_pixel_purchase,11838,10.13068966,293.79,225,1.305733333,23070,12.73472042
1/31/2017,3/14/2017,2. Medal - Baker's Video,inactive,,,1942,,18.92,3,6.306666667,2033,9.306443679
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,7,actions:offsite_conversion.fb_pixel_purchase,1409,12.67285714,88.71,38,2.334473684,4882,18.17083163
1/31/2017,3/14/2017,3. Medal - Slideshow Video,inactive,2,actions:offsite_conversion.fb_pixel_purchase,783,7.76,15.52,9,1.724444444,978,15.86912065
1/31/2017,3/14/2017,2. Medal - Baker's Video,inactive,3,actions:offsite_conversion.fb_pixel_purchase,766,5.166666667,15.5,21,0.738095238,965,16.06217617
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,44,actions:offsite_conversion.fb_pixel_purchase,42069,13.69909091,602.76,331,1.82102719,46362,13.00116475
1/31/2017,3/14/2017,3. Medal - Slideshow Video,inactive,54,actions:offsite_conversion.fb_pixel_purchase,60154,11.52074074,622.12,500,1.24424,64307,9.674218981
1/31/2017,3/14/2017,2. Medal - Baker's Video,inactive,,,311,,2.55,,,314,8.121019108
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,6,actions:offsite_conversion.fb_pixel_purchase,6224,15.00333333,90.02,44,2.045909091,6583,13.67461644
1/31/2017,3/14/2017,4. Medal - Sky Video,inactive,8,actions:offsite_conversion.fb_pixel_purchase,6485,11.225,89.8,48,1.870833333,6875,13.06181818
